id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,hq
5572396,2017-04-03T08:27,3/04/2017,2017-04-02 22:27:00 UTC,Sydney,,309498,sue_rex,2017-04-04 22:59:51 UTC,2019-12-05 02:27:24 UTC,research,CC-BY,https://www.inaturalist.org/observations/5572396,https://static.inaturalist.org/photos/6880390/medium.jpg?1491346797,,,"Field Notes - Shrub about 3m tall, started flowering in autumn.",FALSE,3,0,FALSE,111,Australia,-27.93943461,153.2724108,,obscured,open,TRUE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
5781648,2017-04-17 2:29:15 pm AEST,17/04/2017,2017-04-17 04:29:15 UTC,Brisbane,,453655,asianbogan,2017-04-17 04:29:37 UTC,2017-04-18 03:03:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5781648,https://static.inaturalist.org/photos/7181568/medium.jpeg?1492403385,,,,FALSE,2,0,FALSE,2,8 Ferndale Avenue Carlingford NSW 2118,-33.77924896,151.033295,6,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
5783626,Mon Apr 17 2017 08:19:17 GMT+1000 (GMT+10),17/04/2017,2017-04-16 22:19:17 UTC,Brisbane,,448285,liv2,2017-04-17 06:04:32 UTC,2017-04-18 03:01:33 UTC,research,,https://www.inaturalist.org/observations/5783626,https://static.inaturalist.org/photos/7185137/medium.jpg?1492409201,,,,FALSE,1,0,FALSE,3,"Tunks Park, Cammeray, NSW, AU",-33.8170942,151.2125853,4,,,FALSE,,,Senna pendula glabrata,Senna pendula glabrata,Easter Cassia,Plantae,181665,Y
5870028,2017/04/17 11:54 AM +0700,17/04/2017,2017-04-17 04:54:00 UTC,Bangkok,,458427,nicotantoni,2017-04-20 12:56:21 UTC,2017-04-24 11:54:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5870028,https://static.inaturalist.org/photos/7311966/medium.jpeg?1492692929,,,,FALSE,1,0,FALSE,,"Sydney NSW, Australia",-33.84730726,151.1730885,30,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
6242035,2006/04/15 6:30 PM MST,15/04/2006,2006-04-16 00:30:00 UTC,Mountain Time (US & Canada),,5240,mtncatt,2017-05-17 00:48:20 UTC,2017-05-17 02:53:38 UTC,research,CC-BY,https://www.inaturalist.org/observations/6242035,https://static.inaturalist.org/photos/7846006/medium.jpeg?1494981440,,,,FALSE,1,0,FALSE,,"Forster NSW 2428, Australia",-32.19938143,152.5115043,4,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
7747333,2017/09/01 2:54 PM AEST,1/09/2017,2017-09-01 04:54:00 UTC,Brisbane,,13444,vicfazio3,2017-09-02 09:14:20 UTC,2017-09-03 07:40:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7747333,https://static.inaturalist.org/photos/10170931/medium.jpeg?1504343535,,,,FALSE,1,0,FALSE,,"Saltwater Nat'l. Park,  NSW 2430, Australia",-32.00874313,152.565701,31,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
7942443,2017/09/16 12:55 PM AEST,16/09/2017,2017-09-16 02:55:00 UTC,Brisbane,,13444,vicfazio3,2017-09-16 09:20:19 UTC,2017-09-16 11:52:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7942443,https://static.inaturalist.org/photos/10489500/medium.jpeg?1505553452,,,,FALSE,1,0,FALSE,,"Tall Ships Reserve, Tinonee NSW 2430, Australia",-31.93821339,152.4195421,8,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,
10522740,2018-03-31 6:41:45 pm AEDT,31/03/2018,2018-03-31 08:41:45 UTC,Sydney,,793005,twan3253,2018-03-31 07:54:36 UTC,2018-04-01 02:11:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/10522740,https://static.inaturalist.org/photos/14645753/medium.jpeg?1522483127,,,,FALSE,1,0,FALSE,2,"137-139 St Johns Ave, Gordon NSW 2072, Australia",-33.76450979,151.1420212,9,,,FALSE,,,Christmas Senna,Senna pendula,Easter Cassia,Plantae,138577,Y
10830374,2018-04-13 9:08:49 am AEST,13/04/2018,2018-04-12 23:08:49 UTC,Brisbane,,505431,stainsby,2018-04-12 23:13:35 UTC,2018-04-14 23:49:21 UTC,research,CC-BY,https://www.inaturalist.org/observations/10830374,https://static.inaturalist.org/photos/15177167/medium.jpeg?1523574818,,,,FALSE,2,0,FALSE,2,"3-5 Bertha Ct, Bunya QLD 4055, Australia",-27.37200133,152.9237236,7,,,FALSE,,,Easter Cassia,Senna pendula glabrata,Easter Cassia,Plantae,181665,
11099755,2018/04/03 11:20 AM +1000,3/04/2018,2018-04-03 01:20:00 UTC,Brisbane,,819213,eleis,2018-04-18 04:44:19 UTC,2018-04-20 02:56:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11099755,https://static.inaturalist.org/photos/15680644/medium.jpg?1524026320,,,,FALSE,1,0,FALSE,,"Sydney, NSW, Australia",-33.94248293,151.1227001,20,,,FALSE,,,Senna pendula glabrata,Senna pendula glabrata,Easter Cassia,Plantae,181665,Y
